name	hashes	dependencies
methods	0ce103d44ad036715cdd029c205e36f4	stats
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	methods
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	stats
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	graphics
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	Matrix
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	splines
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	utils
mgcv	3a88ad283a5cdbaf2527eeb4198612cd	nlme
mime	49b6b1e4693e3ac3c43351a3fd980010	tools
miniUI	d28ea2db4da74d7b98088928496d729b	shiny
miniUI	d28ea2db4da74d7b98088928496d729b	htmltools
miniUI	d28ea2db4da74d7b98088928496d729b	utils
nlme	63b2deea5009fee52016e0b125f7128d	graphics
nlme	63b2deea5009fee52016e0b125f7128d	stats
nlme	63b2deea5009fee52016e0b125f7128d	utils
nlme	63b2deea5009fee52016e0b125f7128d	lattice
nnet	7b721fcfbfc6eb1b0dc4ea5f39087d2d	stats
nnet	7b721fcfbfc6eb1b0dc4ea5f39087d2d	utils
openssl	df722e29e06cc151f79dc944a351f036	askpass
pak	462091ca3846074d4dc330bf8cf75bd2	tools
pak	462091ca3846074d4dc330bf8cf75bd2	utils
parallel	afa4a97c71e4bb771ef8ffa2d6ef2614	tools
parallel	afa4a97c71e4bb771ef8ffa2d6ef2614	compiler
pillar	8e6e42aa6c847297a9d94227b311ec20	cli
pillar	8e6e42aa6c847297a9d94227b311ec20	fansi
pillar	8e6e42aa6c847297a9d94227b311ec20	glue
pillar	8e6e42aa6c847297a9d94227b311ec20	lifecycle
pillar	8e6e42aa6c847297a9d94227b311ec20	rlang
pillar	8e6e42aa6c847297a9d94227b311ec20	utf8
pillar	8e6e42aa6c847297a9d94227b311ec20	utils
pillar	8e6e42aa6c847297a9d94227b311ec20	vctrs
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	callr
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	cli
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	crayon
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	desc
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	prettyunits
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	processx
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	R6
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	rprojroot
pkgbuild	8e629d8cd1c5a8e2dbae7f059fcc0215	withr
pkgcache	5e81b120b36672ebf82a106ada891fce	callr
pkgcache	5e81b120b36672ebf82a106ada891fce	cli
pkgcache	5e81b120b36672ebf82a106ada891fce	curl
pkgcache	5e81b120b36672ebf82a106ada891fce	filelock
pkgcache	5e81b120b36672ebf82a106ada891fce	jsonlite
pkgcache	5e81b120b36672ebf82a106ada891fce	prettyunits
pkgcache	5e81b120b36672ebf82a106ada891fce	processx
pkgcache	5e81b120b36672ebf82a106ada891fce	R6
pkgcache	5e81b120b36672ebf82a106ada891fce	rappdirs
pkgcache	5e81b120b36672ebf82a106ada891fce	tools
pkgcache	5e81b120b36672ebf82a106ada891fce	utils
pkgconfig	77b764e47359b9479503120fc4bce628	utils
pkgdown	416920115dcd9bbf0be3276924458614	bslib
pkgdown	416920115dcd9bbf0be3276924458614	callr
pkgdown	416920115dcd9bbf0be3276924458614	cli
pkgdown	416920115dcd9bbf0be3276924458614	desc
pkgdown	416920115dcd9bbf0be3276924458614	digest
pkgdown	416920115dcd9bbf0be3276924458614	downlit
pkgdown	416920115dcd9bbf0be3276924458614	fs
pkgdown	416920115dcd9bbf0be3276924458614	httr
pkgdown	416920115dcd9bbf0be3276924458614	jsonlite
pkgdown	416920115dcd9bbf0be3276924458614	magrittr
pkgdown	416920115dcd9bbf0be3276924458614	memoise
pkgdown	416920115dcd9bbf0be3276924458614	purrr
pkgdown	416920115dcd9bbf0be3276924458614	ragg
pkgdown	416920115dcd9bbf0be3276924458614	rlang
pkgdown	416920115dcd9bbf0be3276924458614	rmarkdown
pkgdown	416920115dcd9bbf0be3276924458614	tibble
